Date,F,C,WFC,JPM,AAPL,IBM
2015-03-27,13.74053026,49.66602036,49.96680515,55.41687987,117.5468396,146.4982598
2015-04-02,13.78352316,50.50352581,50.19762003,56.69533303,119.5210543,146.5439264
2015-04-10,13.78352316,51.05861662,50.15145706,57.80076087,121.2186881,148.7450536
2015-04-17,13.55136151,51.68187649,49.90217699,58.86871658,118.9774299,146.7448591
2015-04-24,13.55996009,51.51632308,50.50229567,58.6438838,124.2515397,155.0653027
2015-05-01,13.72164237,52.35382853,50.95469284,59.59005509,122.9830829,158.6181595
2015-05-08,13.6001351,52.65636852,52.102042,61.35124521,122.219908,158.9196553
2015-05-15,13.43523238,52.87081504,51.60937327,61.71659848,123.3212471,159.4534369
2015-05-22,13.25297147,53.58238759,52.05556382,62.2693124,126.9317239,158.4963114
2015-05-29,13.16618057,52.71485393,52.01838127,61.62291815,124.7673532,156.1311068
2015-06-05,12.82769603,54.82032887,52.62259764,63.15927549,123.2063247,154.0604025
2015-06-12,13.21825511,55.66836739,53.06878818,63.93682219,121.7889492,153.6830742
2015-06-19,13.11410602,54.8105813,53.03160564,63.77756564,121.2430681,153.6830742
2015-06-26,13.36579965,54.91780456,53.39413546,64.59258447,121.386721,152.2749952
2015-07-02,12.90580785,53.97229035,52.74344091,63.66181876,121.0898383,151.9344794
2015-07-10,12.56732331,53.18273725,52.12992891,63.21867517,118.06355,153.6462616
2015-07-17,12.74958421,57.26696873,53.85891728,65.25524995,124.1352803,158.7632021
2015-07-24,12.48921149,57.21823088,53.7101871,64.97239234,119.2319272,147.0200078
2015-07-31,12.99802532,57.03267941,53.79384782,64.61410604,116.1673314,149.081509
2015-08-07,12.97173127,56.49610785,53.76952035,64.16153386,111.1315892,143.9461811
2015-08-14,12.95420191,56.18392075,53.63853491,64.01067647,111.5548743,144.5308
2015-08-21,12.14785104,52.29133795,50.49488451,59.96581269,101.7423552,138.1278304
2015-08-28,12.04267484,51.97915086,50.09257211,60.4655278,108.9863031,137.3204994
2015-09-04,11.88491055,49.35482811,47.98744908,57.98580944,105.1190162,133.3488023
2015-09-11,12.0163808,49.85237629,49.23181069,58.98523966,109.8713539,136.7544398
2015-09-18,12.51596774,49.06215271,47.75354652,57.45780858,109.140225,134.1004553
2015-09-25,11.8586165,49.31580473,48.16521502,57.95752368,110.3523597,134.9449049
2015-10-02,12.26179193,48.662163,47.95938077,57.75009477,106.1868491,134.165413
2015-10-09,13.12073089,50.12554,48.78271778,58.81373737,107.8607495,141.4128322
2015-10-16,13.39243607,51.4035559,49.47506936,59.28857781,106.8217769,139.556899
2015-10-23,13.73425872,52.33036133,51.2246605,60.65611829,114.5563508,134.2582096
2015-10-30,13.11056105,51.92017035,50.65393825,61.01699702,114.9603957,129.9895632
2015-11-06,12.85383838,54.55670335,52.61284948,65.01515356,116.9619591,129.4977409
2015-11-13,12.32268803,51.92017035,51.40704021,62.26107899,108.5371426,123.4092395
2015-11-20,12.92465843,53.4630304,52.58458832,64.14144715,115.2615375,129.731914
2015-11-27,12.86269089,52.9357238,52.17951177,63.79006522,113.8219759,129.6944463
2015-12-04,12.57055819,53.79503826,52.44328255,64.47383546,115.0006773,131.5397306
2015-12-11,12.07481787,49.90859331,50.22007172,60.84605447,109.3487075,126.0507124
2015-12-18,12.21645796,50.00624268,50.67225019,61.15944916,102.4407445,126.359821
2015-12-24,12.66793576,51.47098324,51.64254983,63.24874711,104.3730418,129.4977409
2015-12-31,12.47318063,50.53354928,51.20921213,62.707429,101.69681,128.9076246
